feature,gain
NAME_TYPE_SUITE_Group_of_people,0.0
BUREAU_OVERDUE_COUNT,0.0
FLAG_OWN_CAR_nan,0.0
FLAG_DOCUMENT_20,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_21,0.0
CODE_GENDER_nan,0.0
INST_DAYS_LATE_COUNT,0.0
INST_IS_LATE_COUNT,0.0
NAME_CONTRACT_TYPE_nan,0.0
INST_IS_LATE_MAX,0.0
INST_IS_LATE_MIN,0.0
PREV_NFLAG_LAST_APPL_IN_DAY_COUNT,0.0
PREV_NFLAG_LAST_APPL_IN_DAY_MIN,0.0
PREV_HOUR_APPR_PROCESS_START_COUNT,0.0
PREV_NFLAG_LAST_APPL_IN_DAY_MAX,0.0
NAME_FAMILY_STATUS_nan,0.0
NAME_EDUCATION_TYPE_Academic_degree,0.0
NAME_EDUCATION_TYPE_nan,0.0
NAME_FAMILY_STATUS_Unknown,0.0
WALLSMATERIAL_MODE_Mixed,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Wooden,0.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_nan,0.0
WALLSMATERIAL_MODE_Block,0.0
HOUSETYPE_MODE_block_of_flats,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_17,0.0
FLAG_OWN_CAR_Y,0.0
CODE_GENDER_XNA,0.0
PREV_RATE_INTEREST_PRIVILEGED_MAX,0.0
FLAG_OWN_REALTY_nan,0.0
NAME_HOUSING_TYPE_nan,0.0
OCCUPATION_TYPE_HR_staff,0.0
NAME_HOUSING_TYPE_Co-op_apartment,0.0
PREV_RATE_INTEREST_PRIMARY_SUM,0.0
PREV_RATE_INTEREST_PRIMARY_COUNT,0.0
FLAG_DOCUMENT_12,0.0
OCCUPATION_TYPE_Private_service_staff,0.0
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Other,0.0
ORGANIZATION_TYPE_Mobile,0.0
WEEKDAY_APPR_PROCESS_START_nan,0.0
OCCUPATION_TYPE_Realty_agents,0.0
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Security_staff,0.0
OCCUPATION_TYPE_Waiters/barmen_staff,0.0
ORGANIZATION_TYPE_Advertising,0.0
WALLSMATERIAL_MODE_nan,0.0
ORGANIZATION_TYPE_nan,0.0
ORGANIZATION_TYPE_Agriculture,0.0
ORGANIZATION_TYPE_XNA,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Security,0.0
ORGANIZATION_TYPE_Restaurant,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Industry__type_13,0.0
ORGANIZATION_TYPE_Industry__type_2,0.0
ORGANIZATION_TYPE_Trade__type_1,0.0
ORGANIZATION_TYPE_Trade__type_4,0.0
ORGANIZATION_TYPE_Industry__type_4,0.0
ORGANIZATION_TYPE_Industry__type_3,0.0
ORGANIZATION_TYPE_Industry__type_5,0.0
